episode,timestep,reward
2431,243200,179.0
2433,243400,182.5
2435,243600,161.0
2437,243800,198.0
2439,244000,227.0
2441,244200,263.5
2443,244400,164.5
2445,244600,225.5
2447,244800,192.0
2449,245000,237.0
2451,245200,230.5
2453,245400,215.0
2455,245600,175.0
2457,245800,225.5
2459,246000,176.0
2461,246200,158.0
2463,246400,158.0
2465,246600,162.5
2467,246800,220.0
2469,247000,228.0
2471,247200,232.5
2473,247400,239.5
2475,247600,218.0
2477,247800,227.5
2479,248000,205.5
2481,248200,175.5
2483,248400,143.5
2485,248600,222.0
2487,248800,287.5
2489,249000,244.5
2491,249200,279.0
2493,249400,201.0
2495,249600,150.5
2497,249800,262.5
2499,250000,198.0
2501,250200,197.0
2503,250400,218.5
2505,250600,258.0
2507,250800,195.5
2509,251000,210.0
2511,251200,190.0
2513,251400,260.0
2515,251600,196.5
2517,251800,147.0
2519,252000,238.0
2521,252200,170.0
2523,252400,190.0
2525,252600,209.5
2527,252800,214.0
2529,253000,214.0
2531,253200,204.5
2533,253400,275.0
2535,253600,159.0
2537,253800,225.5
2539,254000,214.0
2541,254200,135.0
2543,254400,213.0
2545,254600,139.0
2547,254800,176.0
2549,255000,171.0
2551,255200,171.0
2553,255400,177.0
2555,255600,226.0
2557,255800,256.0
2559,256000,186.5
2561,256200,155.0
2563,256400,219.5
2565,256600,212.0
2567,256800,204.5
2569,257000,90.0
2571,257200,237.5
2573,257400,152.5
2575,257600,214.5
2577,257800,195.5
2579,258000,194.0
2581,258200,174.5
2583,258400,169.0
2585,258600,119.0
2587,258800,159.5
2589,259000,210.5
2591,259200,174.0
2593,259400,187.0
2595,259600,215.5
2597,259800,204.0
2599,260000,142.5
2601,260200,266.5
2603,260400,203.0
2605,260600,188.0
2607,260800,179.5
2609,261000,170.5
2611,261200,199.0
2613,261400,219.5
2615,261600,272.5
2617,261800,246.5
2619,262000,219.0
2621,262200,227.0
2623,262400,234.5
2625,262600,175.5
2627,262800,237.5
2629,263000,153.0
2631,263200,232.5
2633,263400,247.5
2635,263600,173.5
2637,263800,189.5
2639,264000,265.0
2641,264200,249.5
2643,264400,228.5
2645,264600,169.5
2647,264800,213.5
2649,265000,295.5
2651,265200,278.0
2653,265400,242.0
2655,265600,185.5
2657,265800,189.0
2659,266000,257.5
2661,266200,197.0
2663,266400,204.5
2665,266600,268.5
2667,266800,183.0
2669,267000,214.5
2671,267200,300.5
2673,267400,283.5
2675,267600,283.5
2677,267800,192.0
2679,268000,170.5
2681,268200,207.5
2683,268400,240.5
2685,268600,184.5
2687,268800,221.0
2689,269000,193.0
2691,269200,243.5
2693,269400,251.5
2695,269600,220.5
2697,269800,183.0
2699,270000,241.0
2701,270200,229.5
2703,270400,278.5
2705,270600,234.0
2707,270800,286.0
2709,271000,261.5
2711,271200,174.5
2713,271400,240.5
2715,271600,258.0
2717,271800,169.0
2719,272000,208.0
2721,272200,284.5
2723,272400,187.0
2725,272600,264.0
2727,272800,256.5
2729,273000,152.0
2731,273200,284.0
2733,273400,200.5
2735,273600,286.5
2737,273800,288.0
2739,274000,310.0
2741,274200,240.0
2743,274400,193.5
2745,274600,184.5
2747,274800,303.0
2749,275000,268.0
2751,275200,258.0
